Column 1,Date,Specimen ID,uid,alpha_est,alpha_stderr,alpha_t,alpha_p,ek_est,ek_stderr,ek_t,ek_p,rETRmax,plant ID,ETRmax,Treatment,Species,RLC Day,Lanai Side,Temperature (°C),specific growth rate,run,lunar phase
1,2021-09-20,hm1-1,2021-09-20_hm1-1,0.801,0.017,47.913,0,116.7,3,39.1,0,94.3,hm1,39.61,2-35‰,hm,1,E,30,,1,III
2,2021-09-20,hm1-2,2021-09-20_hm1-2,0.772,0.068,11.286,0,129.5,14.3,9.1,0,106.6,hm1,44.77,3-28‰,hm,1,E,30,,1,III
3,2021-09-20,hm1-3,2021-09-20_hm1-3,0.659,0.105,6.247,0.001,153,31.4,4.9,0,119.72,hm1,50.28,4-18‰,hm,1,E,30,,1,III
4,2021-09-20,hm1-4,2021-09-20_hm1-4,0.777,0.042,18.517,0,130.2,8.8,14.9,0,103.32,hm1,43.39,5-11‰,hm,1,E,30,,1,III
5,2021-09-20,ul1-1,2021-09-20_ul1-1,0.655,0.033,19.605,0,179.6,12.2,14.7,0,115.62,ul1,48.56,2-35‰,ul,1,E,30,,1,III
6,2021-09-20,ul1-2,2021-09-20_ul1-2,0.743,0.099,7.488,0,95.1,15.1,6.3,0,75.18,ul1,31.58,3-28‰,ul,1,E,30,,1,III
7,2021-09-20,ul1-3,2021-09-20_ul1-3,0.947,0.347,2.728,0.034,58.1,24,2.4,0.1,67.55,ul1,28.37,4-18‰,ul,1,E,30,,1,III
8,2021-09-20,ul1-4,2021-09-20_ul1-4,0.886,0.259,3.414,0.014,62.3,20.7,3,0,65.84,ul1,27.65,5-11‰,ul,1,E,30,,1,III
9,2021-09-20,hm2-1,2021-09-20_hm2-1,0.56,0.095,5.867,0.001,143.7,31.1,4.6,0,96.76,hm2,40.64,2-35‰,hm,1,E,30,,1,III
10,2021-09-20,hm2-2,2021-09-20_hm2-2,0.68,0.079,8.577,0,107.9,15.2,7.1,0,82.82,hm2,34.78,3-28‰,hm,1,E,30,,1,III
11,2021-09-20,hm2-3,2021-09-20_hm2-3,0.726,0.095,7.677,0,123.5,19.9,6.2,0,98.4,hm2,41.33,4-18‰,hm,1,E,30,,1,III
12,2021-09-20,hm2-4,2021-09-20_hm2-4,0.728,0.084,8.664,0,111.4,15.7,7.1,0,90.2,hm2,37.88,5-11‰,hm,1,E,30,,1,III
13,2021-09-20,ul2-1,2021-09-20_ul2-1,0.875,0.198,4.407,0.005,77.5,20.5,3.8,0,77.81,ul2,32.68,2-35‰,ul,1,E,30,,1,III
14,2021-09-20,ul2-2,2021-09-20_ul2-2,0.82,0.16,5.119,0.002,84.3,19.4,4.4,0,78.54,ul2,32.99,3-28‰,ul,1,E,30,,1,III
15,2021-09-20,ul2-3,2021-09-20_ul2-3,0.713,0.101,7.05,0,103.2,17.6,5.9,0,78.96,ul2,33.16,4-18‰,ul,1,E,30,,1,III
16,2021-09-20,ul2-4,2021-09-20_ul2-4,0.739,0.085,8.73,0,109.6,15.3,7.2,0,85.26,ul2,35.81,5-11‰,ul,1,E,30,,1,III
17,2021-09-20,hm3-1,2021-09-20_hm3-1,0.722,0.128,5.628,0.001,63,12.7,4.9,0,53.3,hm3,22.39,2-35‰,hm,1,E,27,,1,III
18,2021-09-20,hm3-2,2021-09-20_hm3-2,0.477,0.113,4.232,0.005,107,30.6,3.5,0,64.78,hm3,27.21,3-28‰,hm,1,E,27,,1,III
19,2021-09-20,hm3-3,2021-09-20_hm3-3,0.426,0.048,8.783,0,78.1,10.4,7.5,0,36.08,hm3,15.15,4-18‰,hm,1,E,27,,1,III
20,2021-09-20,hm3-4,2021-09-20_hm3-4,0.423,0.089,4.749,0.003,171.1,47.3,3.6,0,88.56,hm3,37.2,5-11‰,hm,1,E,27,,1,III
21,2021-09-20,ul3-1,2021-09-20_ul3-1,0.663,0.09,7.373,0,89.4,14.3,6.2,0,62.7,ul3,26.33,2-35‰,ul,1,E,27,,1,III
22,2021-09-20,ul3-2,2021-09-20_ul3-2,0.725,0.112,6.46,0.001,78.4,14.1,5.5,0,62.16,ul3,26.11,3-28‰,ul,1,E,27,,1,III
23,2021-09-20,ul3-3,2021-09-20_ul3-3,0.655,0.081,8.134,0,116.4,17.5,6.6,0,82.32,ul3,34.57,4-18‰,ul,1,E,27,,1,III
24,2021-09-20,ul3-4,2021-09-20_ul3-4,0.693,0.122,5.658,0.001,78.9,16.3,4.9,0,60.42,ul3,25.38,5-11‰,ul,1,E,27,,1,III
25,2021-09-20,hm4-1,2021-09-20_hm4-1,0.843,0.245,3.44,0.014,60,19.7,3,0,60.68,hm4,25.49,2-35‰,hm,1,E,27,,1,III
26,2021-09-20,hm4-2,2021-09-20_hm4-2,0.65,0.034,19.307,0,138.3,9,15.3,0,90,hm4,37.8,3-28‰,hm,1,E,27,,1,III
27,2021-09-20,hm4-3,2021-09-20_hm4-3,0.75,0.073,10.252,0,158.2,19.9,7.9,0,123,hm4,51.66,4-18‰,hm,1,E,27,,1,III
28,2021-09-20,hm4-4,2021-09-20_hm4-4,0.568,0.043,13.23,0,203.8,21.2,9.6,0,120.54,hm4,50.63,5-11‰,hm,1,E,27,,1,III
29,2021-09-20,ul4-1,2021-09-20_ul4-1,0.441,0.047,9.34,0,126.1,16.7,7.5,0,57.4,ul4,24.11,2-35‰,ul,1,E,27,,1,III
30,2021-09-20,ul4-2,2021-09-20_ul4-2,0.59,0.074,7.942,0,87.5,13,6.7,0,55.02,ul4,23.11,3-28‰,ul,1,E,27,,1,III
31,2021-09-20,ul4-3,2021-09-20_ul4-3,0.631,0.08,7.885,0,109.9,16.9,6.5,0,74.34,ul4,31.22,4-18‰,ul,1,E,27,,1,III
32,2021-09-20,ul4-4,2021-09-20_ul4-4,0.59,0.038,15.639,0,166.8,13.9,12,0,94.5,ul4,39.69,5-11‰,ul,1,E,27,,1,III
33,2021-09-20,hm5-1,2021-09-20_hm5-1,0.639,0.058,10.99,0,86.8,9.3,9.3,0,60.68,hm5,25.49,2-35‰,hm,1,E,20,,1,III
34,2021-09-20,hm5-2,2021-09-20_hm5-2,0.59,0.028,20.83,0,124.4,7.4,16.8,0,77.08,hm5,32.37,3-28‰,hm,1,E,20,,1,III
35,2021-09-20,hm5-3,2021-09-20_hm5-3,0.292,0.051,5.699,0.001,317.4,90.6,3.5,0,96.76,hm5,40.64,4-18‰,hm,1,E,20,,1,III
36,2021-09-20,hm5-4,2021-09-20_hm5-4,0.575,0.041,13.951,0,146.8,13.4,11,0,91.02,hm5,38.23,5-11‰,hm,1,E,20,,1,III
37,2021-09-20,ul5-1,2021-09-20_ul5-1,0.621,0.057,10.843,0,126.4,14.5,8.7,0,81.18,ul5,34.1,2-35‰,ul,1,E,20,,1,III
38,2021-09-20,ul5-2,2021-09-20_ul5-2,0.657,0.133,4.956,0.003,76.3,17.9,4.3,0,56.15,ul5,23.58,3-28‰,ul,1,E,20,,1,III
39,2021-09-20,ul5-3,2021-09-20_ul5-3,0.586,0.067,8.738,0,136.6,19.6,7,0,83.58,ul5,35.1,4-18‰,ul,1,E,20,,1,III
40,2021-09-20,ul5-4,2021-09-20_ul5-4,0.503,0.048,10.496,0,156.8,19.3,8.1,0,85.28,ul5,35.82,5-11‰,ul,1,E,20,,1,III
41,2021-09-20,hm6-1,2021-09-20_hm6-1,0.724,0.076,9.517,0,179.7,25.1,7.2,0,137.76,hm6,57.86,2-35‰,hm,1,E,20,,1,III
42,2021-09-20,hm6-2,2021-09-20_hm6-2,0.858,0.093,9.216,0,126,17,7.4,0,110.88,hm6,46.57,3-28‰,hm,1,E,20,,1,III
43,2021-09-20,hm6-3,2021-09-20_hm6-3,0.732,0.114,6.404,0.001,90.1,16.7,5.4,0,76.26,hm6,32.03,4-18‰,hm,1,E,20,,1,III
44,2021-09-20,hm6-4,2021-09-20_hm6-4,0.84,0.065,12.852,0,96.6,9,10.8,0,83.22,hm6,34.95,5-11‰,hm,1,E,20,,1,III
45,2021-09-20,ul6-1,2021-09-20_ul6-1,0.59,0.043,13.577,0,143.8,13.4,10.7,0,86.1,ul6,36.16,2-35‰,ul,1,E,20,,1,III
46,2021-09-20,ul6-2,2021-09-20_ul6-2,0.594,0.083,7.12,0,96.2,16.1,6,0,61.32,ul6,25.75,3-28‰,ul,1,E,20,,1,III
47,2021-09-20,ul6-3,2021-09-20_ul6-3,0.637,0.058,11.05,0,155.7,18.1,8.6,0,99.12,ul6,41.63,4-18‰,ul,1,E,20,,1,III
48,2021-09-20,ul6-4,2021-09-20_ul6-4,0.549,0.041,13.406,0,155.3,14.9,10.4,0,82,ul6,34.44,5-11‰,ul,1,E,20,,1,III
49,2021-09-21,hm1-1,2021-09-21_hm1-1,0.732,0.021,35.478,0,146.1,5.2,27.9,0,108.24,hm1,45.46,2-35‰,hm,1,D,20,,1,III
50,2021-09-21,hm1-2,2021-09-21_hm1-2,1.133,0.124,9.124,0,45.6,5.5,8.3,0,54.12,hm1,22.73,3-28‰,hm,1,D,20,,1,III
51,2021-09-21,hm1-3,2021-09-21_hm1-3,0.67,0.063,10.578,0,143.2,17.2,8.3,0,105.78,hm1,44.43,4-18‰,hm,1,D,20,,1,III
52,2021-09-21,hm1-4,2021-09-21_hm1-4,0.532,0.042,12.655,0,160.7,16.5,9.8,0,92.66,hm1,38.92,5-11‰,hm,1,D,20,,1,III
53,2021-09-21,ul1-1,2021-09-21_ul1-1,0.663,0.049,13.441,0,134.8,12.6,10.7,0,91.14,ul1,38.28,2-35‰,ul,1,D,20,,1,III
