date,ID,Species,weight difference,run,lanai side,treatment,temperature,Initial weight,final weight,plant ID,RLC order, lunar phase
9/28/21,Hm1-1,Hm,0.0466,1,ewa,1,30 C,0.2879,0.3345,1,6,IV
9/28/21,Hm1-2,Hm,0.1107,1,ewa,2,30 C,0.2773,0.388,1,6,IV
9/28/21,Hm1-3,Hm,0.0968,1,ewa,3,30 C,0.2829,0.3816,1,6,IV
9/28/21,Hm1-4,Hm,0.08,1,ewa,4,30 C,0.24695,0.3277,1,6,IV
9/28/21,Ul1-1,Ul,-0.0287,1,ewa,1,30 C,0.2705,0.2418,1,6,IV
9/28/21,Ul1-2,Ul,-0.0745,1,ewa,2,30 C,0.2595,0.185,1,6,IV
9/28/21,Ul1-3,Ul,-0.139,1,ewa,3,30 C,0.2673,0.1283,1,6,IV
9/28/21,Ul1-4,Ul,-0.0679,1,ewa,4,30 C,0.2861,0.2182,1,6,IV
9/28/21,Hm2-1,Hm,0.1043,1,ewa,1,30 C,0.2830,0.3892,2,5,IV
9/28/21,Hm2-2,Hm,0.0766,1,ewa,2,30 C,0.307,0.3836,2,5,IV
9/28/21,Hm2-3,Hm,0.059,1,ewa,3,30 C,0.2631,0.3221,2,5,IV
9/28/21,Hm2-4,Hm,0.0739,1,ewa,4,30 C,0.2789,0.3528,2,5,IV
9/28/21,Ul2-1,Ul,0.0015,1,ewa,1,30 C,0.2386,0.2401,2,5,IV
9/28/21,Ul2-2,Ul,0.1243,1,ewa,2,30 C,0.3114,0.4357,2,5,IV
9/28/21,Ul2-3,Ul,0.1323,1,ewa,3,30 C,0.2765,0.4088,2,5,IV
9/28/21,Ul2-4,Ul,0.1933,1,ewa,4,30 C,0.2922,0.4855,2,5,IV
9/28/21,Hm3-1,Hm,0.1546,1,ewa,1,27 C,0.25675,0.4178,3,2,IV
9/28/21,Hm3-2,Hm,0.1037,1,ewa,2,27 C,0.2900,0.3956,3,2,IV
9/28/21,Hm3-3,Hm,0.0727,1,ewa,3,27 C,0.2578,0.3305,3,2,IV
9/28/21,Hm3-4,Hm,0.0779,1,ewa,4,27 C,0.26075,0.3432,3,2,IV
9/28/21,Ul3-1,Ul,0.0527,1,ewa,1,27 C,0.2965,0.3492,3,2,IV
9/28/21,Ul3-2,Ul,0.0959,1,ewa,2,27 C,0.2662,0.3621,3,2,IV
9/28/21,Ul3-3,Ul,0.1332,1,ewa,3,27 C,0.2899,0.4231,3,2,IV
9/28/21,Ul3-4,Ul,0.1632,1,ewa,4,27 C,0.2969,0.4601,3,2,IV
9/28/21,Hm4-1,Hm,0.1069,1,ewa,1,27 C,0.2640,0.3781,4,1,IV
9/28/21,Hm4-2,Hm,0.0534,1,ewa,2,27 C,0.26615,0.3241,4,1,IV
9/28/21,Hm4-3,Hm,0.1008,1,ewa,3,27 C,0.2859,0.3867,4,1,IV
9/28/21,Hm4-4,Hm,0.0695,1,ewa,4,27 C,0.2809,0.3504,4,1,IV
9/28/21,Ul4-1,Ul,0.1463,1,ewa,1,27 C,0.2304,0.3767,4,1,IV
9/28/21,Ul4-2,Ul,0.2088,1,ewa,2,27 C,0.3039,0.5127,4,1,IV
9/28/21,Ul4-3,Ul,0.2226,1,ewa,3,27 C,0.2822,0.5048,4,1,IV
9/28/21,Ul4-4,Ul,0.2568,1,ewa,4,27 C,0.2623,0.5191,4,1,IV
9/28/21,Hm5-1,Hm,0.079,1,ewa,1,20 C,0.2603,0.3393,5,4,IV
9/28/21,Hm5-2,Hm,0.0676,1,ewa,2,20 C,0.2137,0.2813,5,4,IV
9/28/21,Hm5-3,Hm,0.1058,1,ewa,3,20 C,0.29015,0.3986,5,4,IV
9/28/21,Hm5-4,Hm,0.0714,1,ewa,4,20 C,0.29605,0.3701,5,4,IV
9/28/21,Ul5-1,Ul,0.188,1,ewa,1,20 C,0.2885,0.4765,5,4,IV
9/28/21,Ul5-2,Ul,0.284,1,ewa,2,20 C,0.2737,0.5577,5,4,IV
9/28/21,Ul5-3,Ul,0.1942,1,ewa,3,20 C,0.2913,0.4855,5,4,IV
9/28/21,Ul5-4,Ul,0.2023,1,ewa,4,20 C,0.2884,0.4907,5,4,IV
9/28/21,Hm6-1,Hm,0.1454,1,ewa,1,20 C,0.2481,0.3935,6,3,IV
9/28/21,Hm6-2,Hm,0.0632,1,ewa,2,20 C,0.2721,0.3353,6,3,IV
9/28/21,Hm6-3,Hm,0.0807,1,ewa,3,20 C,0.2522,0.3329,6,3,IV
9/28/21,Hm6-4,Hm,0.0769,1,ewa,4,20 C,0.2489,0.3273,6,3,IV
9/28/21,Ul6-1,Ul,0.1203,1,ewa,1,20 C,0.2952,0.4155,6,3,IV
9/28/21,Ul6-2,Ul,0.1261,1,ewa,2,20 C,0.2809,0.407,6,3,IV
9/28/21,Ul6-3,Ul,0.1615,1,ewa,3,20 C,0.3068,0.4683,6,3,IV
9/28/21,Ul6-4,Ul,0.2723,1,ewa,4,20 C,0.3138,0.5861,6,3,IV
9/29/21,Hm1-1,Hm,0.0651,1,diamond,1,20 C,0.3016,0.3767,7,6,IV
9/29/21,Hm1-2,Hm,0.0228,1,diamond,2,20 C,0.3045,0.3692,7,6,IV
9/29/21,Hm1-3,Hm,0.073,1,diamond,3,20 C,0.2805,0.3223,7,6,IV
9/29/21,Hm1-4,Hm,0.0505,1,diamond,4,20 C,0.2885,0.361,7,6,IV
9/29/21,Ul1-1,Ul,0.0396,1,diamond,1,20 C,0.306,0.6745,7,6,IV
9/29/21,Ul1-2,Ul,0.0368,1,diamond,2,20 C,0.277,0.6132,7,6,IV
9/29/21,Ul1-3,Ul,0.0322,1,diamond,3,20 C,0.2951,0.8293,7,6,IV
9/29/21,Ul1-4,Ul,0.0357,1,diamond,4,20 C,0.2943,0.5555,7,6,IV
9/29/21,Hm2-1,Hm,0.0535,1,diamond,1,20 C,0.2621,0.339,8,5,IV
9/29/21,Hm2-2,Hm,0.0178,1,diamond,2,20 C,0.2155,0.0846,8,5,IV
9/29/21,Hm2-3,Hm,0.0206,1,diamond,3,20 C,0.2727,0.31,8,5,IV
9/29/21,Hm2-4,Hm,0.0399,1,diamond,4,20 C,0.2583,0.2335,8,5,IV
9/29/21,Ul2-1,Ul,0.0364,1,diamond,1,20 C,0.2895,0.5528,8,5,IV
9/29/21,Ul2-2,Ul,0.0349,1,diamond,2,20 C,0.2846,0.5605,8,5,IV
9/29/21,Ul2-3,Ul,0.0375,1,diamond,3,20 C,0.2944,0.5265,8,5,IV
9/29/21,Ul2-4,Ul,0.0325,1,diamond,4,20 C,0.2925,0.5983,8,5,IV
9/29/21,Hm3-1,Hm,0.0341,1,diamond,1,27 C,0.2834,0.4198,9,2,IV
9/29/21,Hm3-2,Hm,0.0318,1,diamond,2,27 C,0.29405,0.3718,9,2,IV
9/29/21,Hm3-3,Hm,0.0549,1,diamond,3,27 C,0.2676,0.3561,9,2,IV
9/29/21,Hm3-4,Hm,0.0379,1,diamond,4,27 C,0.2989,0.3948,9,2,IV
9/29/21,Ul3-1,Ul,0.0403,1,diamond,1,27 C,0.2614,0.3021,9,2,IV
9/29/21,Ul3-2,Ul,0.0378,1,diamond,2,27 C,0.2731,0.4731,9,2,IV
9/29/21,Ul3-3,Ul,0.0305,1,diamond,3,27 C,0.2954,0.5799,9,2,IV
9/29/21,Ul3-4,Ul,0.0366,1,diamond,4,27 C,0.3056,0.5308,9,2,IV
9/29/21,Hm4-1,Hm,0.047,1,diamond,1,27 C,0.2430,0.3565,10,1,IV
9/29/21,Hm4-2,Hm,0.0512,1,diamond,2,27 C,0.2767,0.3629,10,1,IV
9/29/21,Hm4-3,Hm,0.0304,1,diamond,3,27 C,0.2883,0.3752,10,1,IV
9/29/21,Hm4-4,Hm,0.0408,1,diamond,4,27 C,0.2922,0.3812,10,1,IV
9/29/21,Ul4-1,Ul,0.0545,1,diamond,1,27 C,0.3004,0.5448,10,1,IV
9/29/21,Ul4-2,Ul,0.0393,1,diamond,2,27 C,0.3011,0.5915,10,1,IV
