"","Date","Specimen.ID","uid","Plant.ID","Species","Lanai.Side","Treatment","Temp...C.","RLC.Order","RLC.Day","Run","deltaNPQ","rETRmax","ETRmax","alpha.1","alpha.2","alpha.3","alpha.4","ek.1","ek.2","ek.3","ek.4"
"1","2021-09-20","hm1-1","2021-09-20_hm1-1",1,"hm","ewa","1",30,1,1,1,"0.938",94.3,39.61,0.801,0.015,51.756,0,116.7,2.8,42.2,0
"2","2021-09-20","hm1-2","2021-09-20_hm1-2",1,"hm","ewa","2",30,1,1,1,"1.057",106.6,44.77,0.772,0.063,12.19,0,129.5,13.2,9.8,0
"3","2021-09-20","hm1-3","2021-09-20_hm1-3",1,"hm","ewa","3",30,1,1,1,"0.76",119.72,50.28,0.659,0.098,6.748,0,153,29.1,5.3,0
"4","2021-09-20","hm1-4","2021-09-20_hm1-4",1,"hm","ewa","4",30,1,1,1,"0.85",103.32,43.39,0.777,0.039,20,0,130.2,8.1,16.1,0
"5","2021-09-20","ul1-1","2021-09-20_ul1-1",1,"ul","ewa","1",30,1,1,1,"0.292",115.62,48.56,0.655,0.031,21.175,0,179.6,11.3,15.9,0
"6","2021-09-20","ul1-2","2021-09-20_ul1-2",1,"ul","ewa","2",30,1,1,1,"0.413",75.18,31.58,0.743,0.092,8.087,0,95.1,14,6.8,0
"7","2021-09-20","ul1-3","2021-09-20_ul1-3",1,"ul","ewa","3",30,1,1,1,"0.442",67.55,28.37,0.947,0.322,2.946,0.022,58.1,22.3,2.6,0
"8","2021-09-20","ul1-4","2021-09-20_ul1-4",1,"ul","ewa","4",30,1,1,1,"0.506",65.84,27.65,0.886,0.24,3.687,0.008,62.2,19.2,3.2,0
"9","2021-09-20","hm2-1","2021-09-20_hm2-1",2,"hm","ewa","1",30,2,1,1,"0.582",96.76,40.64,0.56,0.088,6.336,0,143.7,28.8,5,0
"10","2021-09-20","hm2-2","2021-09-20_hm2-2",2,"hm","ewa","2",30,2,1,1,"0.655",82.82,34.78,0.68,0.073,9.263,0,107.9,14.1,7.6,0
"11","2021-09-20","hm2-3","2021-09-20_hm2-3",2,"hm","ewa","3",30,2,1,1,"0.597",98.4,41.33,0.726,0.088,8.292,0,123.5,18.4,6.7,0
