"2022-07-18";"12:09:07";"WinControl (rev 1142) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-II (CFMG0360A) ";""
"2022-07-18 08:06:23.043";"2022-07-18";"08:06:23";"SCHS";"";"Chart start ";""
"2022-07-18 08:13:42.958";"2022-07-18";"08:13:42";"SLCS";"";"Light Curve start ";"hm1-1"
"2022-07-18 08:13:42.958";"2022-07-18";"08:13:42";"REG1";"";"#1: alpha: 0.412, ETRm: 31.215, Ik: 75.829   ( beta: 0.011, ETRmPot: 35.203 ) ";""
"2022-07-18 08:13:42.958";"2022-07-18";"08:13:42";"REG2";"";"#1: alpha: 0.320, ETRm: 29.917, Ik: 93.366 ";""
"2022-07-18 08:13:44.676";"2022-07-18";"08:13:44";"FO";"1";"89";"265";"0";"0.664";"0.0";"-";"-";"89";"265";"0.664"
"2022-07-18 08:14:14.967";"2022-07-18";"08:14:14";"F";"2";"93";"262";"66";"0.645";"17.9";"89";"0.011";"89";"265";"0.664"
"2022-07-18 08:14:45.271";"2022-07-18";"08:14:45";"F";"3";"93";"224";"90";"0.585";"22.1";"84";"0.183";"89";"265";"0.664"
"2022-07-18 08:15:15.560";"2022-07-18";"08:15:15";"F";"4";"94";"185";"125";"0.492";"25.8";"78";"0.432";"89";"265";"0.664"
"2022-07-18 08:15:45.863";"2022-07-18";"08:15:45";"F";"5";"96";"156";"190";"0.385";"30.7";"72";"0.699";"89";"265";"0.664"
"2022-07-18 08:16:16.157";"2022-07-18";"08:16:16";"F";"6";"99";"136";"285";"0.272";"32.6";"67";"0.949";"89";"265";"0.664"
"2022-07-18 08:16:46.447";"2022-07-18";"08:16:46";"F";"7";"104";"126";"420";"0.175";"30.9";"65";"1.103";"89";"265";"0.664"
"2022-07-18 08:17:16.749";"2022-07-18";"08:17:16";"F";"8";"109";"120";"625";"0.092";"24.2";"63";"1.208";"89";"265";"0.664"
"2022-07-18 08:17:47.024";"2022-07-18";"08:17:47";"F";"9";"112";"123";"820";"0.089";"30.7";"64";"1.154";"89";"265";"0.664"
"2022-07-18 08:17:50.309";"2022-07-18";"08:17:50";"SLCE";"";"Light Curve end ";""
"2022-07-18 08:19:10.684";"2022-07-18";"08:19:10";"SLCS";"";"Light Curve start ";"hm1-2"
