"2022-04-25";"12:27:53";"WinControl (rev 1142) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-II (CFMG0360A) ";""
"2022-04-25 08:19:07.546";"2022-04-25";"08:19:07";"SCHS";"";"Chart start ";""
"2022-04-25 08:27:16.742";"2022-04-25";"08:27:16";"SLCS";"";"Light Curve start ";"Hm2-1"
"2022-04-25 08:27:16.742";"2022-04-25";"08:27:16";"REG1";"";"#1: alpha: 0.381, ETRm: 36.038, Ik: 94.549   ( beta: 0.008, ETRmPot: 39.744 ) ";""
"2022-04-25 08:27:16.742";"2022-04-25";"08:27:16";"REG2";"";"#1: alpha: 0.294, ETRm: 35.291, Ik: 120.076 ";""
"2022-04-25 08:27:18.399";"2022-04-25";"08:27:18";"FO";"1";"72";"193";"0";"0.627";"0.0";"-";"-";"72";"193";"0.627"
"2022-04-25 08:27:48.698";"2022-04-25";"08:27:48";"F";"2";"80";"190";"66";"0.579";"16.0";"72";"0.016";"72";"193";"0.627"
"2022-04-25 08:28:18.991";"2022-04-25";"08:28:18";"F";"3";"77";"193";"90";"0.601";"22.7";"72";"0.000";"72";"193";"0.627"
"2022-04-25 08:28:49.284";"2022-04-25";"08:28:49";"F";"4";"80";"168";"125";"0.524";"27.5";"68";"0.149";"72";"193";"0.627"
"2022-04-25 08:29:19.584";"2022-04-25";"08:29:19";"F";"5";"79";"138";"190";"0.428";"34.2";"63";"0.399";"72";"193";"0.627"
"2022-04-25 08:29:49.878";"2022-04-25";"08:29:49";"F";"6";"79";"113";"285";"0.301";"36.0";"57";"0.708";"72";"193";"0.627"
"2022-04-25 08:30:20.174";"2022-04-25";"08:30:20";"F";"7";"81";"101";"420";"0.198";"34.9";"54";"0.911";"72";"193";"0.627"
"2022-04-25 08:30:50.472";"2022-04-25";"08:30:50";"F";"8";"84";"96";"625";"0.125";"32.8";"52";"1.010";"72";"193";"0.627"
"2022-04-25 08:31:20.767";"2022-04-25";"08:31:20";"F";"9";"86";"96";"820";"0.104";"35.8";"52";"1.010";"72";"193";"0.627"
"2022-04-25 08:31:23.467";"2022-04-25";"08:31:23";"SLCE";"";"Light Curve end ";""
"2022-04-25 08:33:45.498";"2022-04-25";"08:33:45";"SLCS";"";"Light Curve start ";"Hm2-2"
"2022-04-25 08:33:45.498";"2022-04-25";"08:33:45";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.007, ETRmPot: 19.110 ) ";""
"2022-04-25 08:33:45.498";"2022-04-25";"08:33:45";"REG2";"";"#1: alpha: 0.219, ETRm: 23.290, Ik: 106.126 ";""
"2022-04-25 08:33:47.244";"2022-04-25";"08:33:47";"FO";"10";"109";"270";"0";"0.596";"0.0";"-";"-";"109";"270";"0.596"
"2022-04-25 08:34:17.528";"2022-04-25";"08:34:17";"F";"11";"119";"226";"66";"0.473";"13.1";"101";"0.195";"109";"270";"0.596"
"2022-04-25 08:34:47.834";"2022-04-25";"08:34:47";"F";"12";"116";"213";"90";"0.455";"17.2";"98";"0.268";"109";"270";"0.596"
"2022-04-25 08:35:18.134";"2022-04-25";"08:35:18";"F";"13";"117";"181";"125";"0.354";"18.6";"91";"0.492";"109";"270";"0.596"
"2022-04-25 08:35:48.421";"2022-04-25";"08:35:48";"F";"14";"119";"161";"190";"0.261";"20.8";"86";"0.677";"109";"270";"0.596"
"2022-04-25 08:36:18.716";"2022-04-25";"08:36:18";"F";"15";"120";"145";"285";"0.172";"20.6";"81";"0.862";"109";"270";"0.596"
"2022-04-25 08:36:49.019";"2022-04-25";"08:36:49";"F";"16";"122";"140";"420";"0.129";"22.8";"79";"0.929";"109";"270";"0.596"
"2022-04-25 08:37:19.308";"2022-04-25";"08:37:19";"F";"17";"125";"137";"625";"0.088";"23.1";"78";"0.971";"109";"270";"0.596"
"2022-04-25 08:37:49.611";"2022-04-25";"08:37:49";"F";"18";"128";"139";"820";"0.079";"27.2";"79";"0.942";"109";"270";"0.596"
