"2022-04-29";"12:28:04";"WinControl (rev 1142) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-II (CFMG0360A) ";""
"2022-04-29 09:18:26.228";"2022-04-29";"09:18:26";"SCHS";"";"Chart start ";""
"2022-04-29 09:19:43.445";"2022-04-29";"09:19:43";"SLCS";"";"Light Curve start ";"HUl5-1"
"2022-04-29 09:19:43.445";"2022-04-29";"09:19:43";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: 0.000, ETRmPot: 11.234 ) ";""
"2022-04-29 09:19:43.445";"2022-04-29";"09:19:43";"REG2";"";"#1: alpha: 0.158, ETRm: 11.333, Ik: 71.513 ";""
"2022-04-29 09:19:45.225";"2022-04-29";"09:19:45";"FO";"1";"103";"272";"0";"0.621";"0.0";"-";"-";"103";"272";"0.621"
"2022-04-29 09:20:15.519";"2022-04-29";"09:20:15";"F";"2";"120";"171";"66";"0.298";"8.3";"84";"0.591";"103";"272";"0.621"
"2022-04-29 09:20:45.815";"2022-04-29";"09:20:45";"F";"3";"120";"161";"90";"0.255";"9.6";"82";"0.689";"103";"272";"0.621"
"2022-04-29 09:21:16.113";"2022-04-29";"09:21:16";"F";"4";"121";"152";"125";"0.204";"10.7";"79";"0.789";"103";"272";"0.621"
"2022-04-29 09:21:46.409";"2022-04-29";"09:21:46";"F";"5";"126";"146";"190";"0.137";"10.9";"78";"0.863";"103";"272";"0.621"
"2022-04-29 09:22:16.700";"2022-04-29";"09:22:16";"F";"6";"129";"142";"285";"0.092";"11.0";"76";"0.915";"103";"272";"0.621"
"2022-04-29 09:22:47.001";"2022-04-29";"09:22:47";"F";"7";"129";"139";"420";"0.072";"12.7";"76";"0.957";"103";"272";"0.621"
"2022-04-29 09:23:17.288";"2022-04-29";"09:23:17";"F";"8";"133";"138";"625";"0.036";"9.5";"75";"0.971";"103";"272";"0.621"
"2022-04-29 09:23:47.584";"2022-04-29";"09:23:47";"F";"9";"134";"139";"820";"0.036";"12.4";"76";"0.957";"103";"272";"0.621"
"2022-04-29 09:23:50.337";"2022-04-29";"09:23:50";"SLCE";"";"Light Curve end ";""
"2022-04-29 09:24:25.000";"2022-04-29";"09:24:25";"SLCS";"";"Light Curve start ";"HUl5-2"
"2022-04-29 09:24:25.000";"2022-04-29";"09:24:25";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.009, ETRmPot: 11.747 ) ";""
"2022-04-29 09:24:25.000";"2022-04-29";"09:24:25";"REG2";"";"#1: alpha: 0.158, ETRm: 17.412, Ik: 110.539 ";""
"2022-04-29 09:24:26.679";"2022-04-29";"09:24:26";"FO";"10";"81";"217";"0";"0.627";"0.0";"-";"-";"81";"217";"0.627"
"2022-04-29 09:24:56.978";"2022-04-29";"09:24:56";"F";"11";"90";"141";"66";"0.362";"10.0";"67";"0.539";"81";"217";"0.627"
"2022-04-29 09:25:27.276";"2022-04-29";"09:25:27";"F";"12";"87";"133";"90";"0.346";"13.1";"66";"0.632";"81";"217";"0.627"
"2022-04-29 09:25:57.573";"2022-04-29";"09:25:57";"F";"13";"92";"121";"125";"0.240";"12.6";"62";"0.793";"81";"217";"0.627"
"2022-04-29 09:26:27.866";"2022-04-29";"09:26:27";"F";"14";"94";"116";"190";"0.190";"15.2";"61";"0.871";"81";"217";"0.627"
"2022-04-29 09:26:58.162";"2022-04-29";"09:26:58";"F";"15";"97";"112";"285";"0.134";"16.0";"60";"0.938";"81";"217";"0.627"
"2022-04-29 09:27:28.451";"2022-04-29";"09:27:28";"F";"16";"100";"109";"420";"0.083";"14.6";"59";"0.991";"81";"217";"0.627"
"2022-04-29 09:27:58.751";"2022-04-29";"09:27:58";"F";"17";"102";"108";"625";"0.056";"14.7";"59";"1.009";"81";"217";"0.627"
"2022-04-29 09:28:29.049";"2022-04-29";"09:28:29";"F";"18";"102";"110";"820";"0.073";"25.1";"59";"0.973";"81";"217";"0.627"
