,Date,Specimen.ID,uid,Plant.ID,Species,Lanai.Side,Treatment,Treatment2,Temp...C.,RLC.Order,RLC.Day,Run,deltaNPQ,rETRmax,ETRmax,alpha.1,alpha.2,alpha.3,alpha.4,ek.1,ek.2,ek.3,ek.4
1,9/20/21,hm1-1,2021-09-20_hm1-1,1,hm,ewa,1,1,30,1,1,1,0.938,94.3,39.61,0.801,0.015,51.756,0,116.7,2.8,42.2,0
2,9/20/21,hm1-2,2021-09-20_hm1-2,1,hm,ewa,2,2,30,1,1,1,1.057,106.6,44.77,0.772,0.063,12.19,0,129.5,13.2,9.8,0
3,9/20/21,hm1-3,2021-09-20_hm1-3,1,hm,ewa,3,3,30,1,1,1,0.76,119.72,50.28,0.659,0.098,6.748,0,153,29.1,5.3,0
4,9/20/21,hm1-4,2021-09-20_hm1-4,1,hm,ewa,4,4,30,1,1,1,0.85,103.32,43.39,0.777,0.039,20,0,130.2,8.1,16.1,0
5,9/20/21,ul1-1,2021-09-20_ul1-1,1,ul,ewa,1,1,30,1,1,1,0.292,115.62,48.56,0.655,0.031,21.175,0,179.6,11.3,15.9,0
6,9/20/21,ul1-2,2021-09-20_ul1-2,1,ul,ewa,2,2,30,1,1,1,0.413,75.18,31.58,0.743,0.092,8.087,0,95.1,14,6.8,0
7,9/20/21,ul1-3,2021-09-20_ul1-3,1,ul,ewa,3,3,30,1,1,1,0.442,67.55,28.37,0.947,0.322,2.946,0.022,58.1,22.3,2.6,0
8,9/20/21,ul1-4,2021-09-20_ul1-4,1,ul,ewa,4,4,30,1,1,1,0.506,65.84,27.65,0.886,0.24,3.687,0.008,62.2,19.2,3.2,0
9,9/20/21,hm2-1,2021-09-20_hm2-1,2,hm,ewa,1,1,30,2,1,1,0.582,96.76,40.64,0.56,0.088,6.336,0,143.7,28.8,5,0
10,9/20/21,hm2-2,2021-09-20_hm2-2,2,hm,ewa,2,2,30,2,1,1,0.655,82.82,34.78,0.68,0.073,9.263,0,107.9,14.1,7.6,0
11,9/20/21,hm2-3,2021-09-20_hm2-3,2,hm,ewa,3,3,30,2,1,1,0.597,98.4,41.33,0.726,0.088,8.292,0,123.5,18.4,6.7,0
12,9/20/21,hm2-4,2021-09-20_hm2-4,2,hm,ewa,4,4,30,2,1,1,0.712,90.2,37.88,0.727,0.078,9.36,0,111.4,14.5,7.7,0
13,9/20/21,ul2-1,2021-09-20_ul2-1,2,ul,ewa,1,1,30,2,1,1,0.433,77.81,32.68,0.874,0.184,4.76,0.002,77.6,19,4.1,0
14,9/20/21,ul2-2,2021-09-20_ul2-2,2,ul,ewa,2,2,30,2,1,1,0.333,78.54,32.99,0.82,0.148,5.529,0.001,84.3,17.9,4.7,0
15,9/20/21,ul2-3,2021-09-20_ul2-3,2,ul,ewa,3,3,30,2,1,1,0.472,78.96,33.16,0.713,0.094,7.614,0,103.2,16.3,6.3,0
16,9/20/21,ul2-4,2021-09-20_ul2-4,2,ul,ewa,4,4,30,2,1,1,0.428,85.26,35.81,0.74,0.078,9.428,0,109.6,14.1,7.8,0
17,9/20/21,hm3-1,2021-09-20_hm3-1,3,hm,ewa,1,1,27,3,1,1,0.725,53.3,22.39,0.722,0.119,6.08,0.001,63,11.8,5.3,0
18,9/20/21,hm3-2,2021-09-20_hm3-2,3,hm,ewa,2,2,27,3,1,1,0.543,64.78,27.21,0.477,0.104,4.572,0.003,107,28.3,3.8,0
19,9/20/21,hm3-3,2021-09-20_hm3-3,3,hm,ewa,3,3,27,3,1,1,0.302,36.08,15.15,0.426,0.045,9.488,0,78.1,9.6,8.1,0
20,9/20/21,hm3-4,2021-09-20_hm3-4,3,hm,ewa,4,4,27,3,1,1,0.621,88.56,37.2,0.423,0.083,5.13,0.001,171,43.8,3.9,0
21,9/20/21,ul3-1,2021-09-20_ul3-1,3,ul,ewa,1,1,27,3,1,1,0.343,62.7,26.33,0.663,0.083,7.964,0,89.4,13.3,6.7,0
22,9/20/21,ul3-2,2021-09-20_ul3-2,3,ul,ewa,2,2,27,3,1,1,0.336,62.16,26.11,0.725,0.104,6.982,0,78.5,13.1,6,0
23,9/20/21,ul3-3,2021-09-20_ul3-3,3,ul,ewa,3,3,27,3,1,1,0.396,82.32,34.57,0.655,0.075,8.785,0,116.4,16.2,7.2,0
24,9/20/21,ul3-4,2021-09-20_ul3-4,3,ul,ewa,4,4,27,3,1,1,0.329,60.42,25.38,0.693,0.113,6.109,0,78.9,15.1,5.2,0
25,9/20/21,hm4-1,2021-09-20_hm4-1,4,hm,ewa,1,1,27,4,1,1,0.734,60.68,25.49,0.844,0.227,3.715,0.008,60,18.3,3.3,0
26,9/20/21,hm4-2,2021-09-20_hm4-2,4,hm,ewa,2,2,27,4,1,1,0.485,90,37.8,0.65,0.031,20.856,0,138.3,8.4,16.6,0
27,9/20/21,hm4-3,2021-09-20_hm4-3,4,hm,ewa,3,3,27,4,1,1,0.826,123,51.66,0.751,0.068,11.074,0,158.2,18.5,8.6,0
28,9/20/21,hm4-4,2021-09-20_hm4-4,4,hm,ewa,4,4,27,4,1,1,0.711,120.54,50.63,0.568,0.04,14.29,0,203.8,19.6,10.4,0
29,9/20/21,ul4-1,2021-09-20_ul4-1,4,ul,ewa,1,1,27,4,1,1,0.368,57.4,24.11,0.441,0.044,10.089,0,126,15.5,8.1,0
30,9/20/21,ul4-2,2021-09-20_ul4-2,4,ul,ewa,2,2,27,4,1,1,0.439,55.02,23.11,0.59,0.069,8.577,0,87.5,12,7.3,0
31,9/20/21,ul4-3,2021-09-20_ul4-3,4,ul,ewa,3,3,27,4,1,1,0.538,74.34,31.22,0.631,0.074,8.516,0,109.9,15.7,7,0
32,9/20/21,ul4-4,2021-09-20_ul4-4,4,ul,ewa,4,4,27,4,1,1,0.577,94.5,39.69,0.59,0.035,16.893,0,166.8,12.9,12.9,0
33,9/20/21,hm5-1,2021-09-20_hm5-1,5,hm,ewa,1,1,20,5,1,1,0.551,60.68,25.49,0.639,0.054,11.869,0,86.8,8.6,10.1,0
34,9/20/21,hm5-2,2021-09-20_hm5-2,5,hm,ewa,2,2,20,5,1,1,0.485,77.08,32.37,0.59,0.026,22.499,0,124.4,6.8,18.2,0
35,9/20/21,hm5-3,2021-09-20_hm5-3,5,hm,ewa,3,3,20,5,1,1,0.344,96.76,40.64,0.292,0.047,6.155,0,317.4,83.9,3.8,0
36,9/20/21,hm5-4,2021-09-20_hm5-4,5,hm,ewa,4,4,20,5,1,1,0.489,91.02,38.23,0.575,0.038,15.069,0,146.8,12.4,11.8,0
37,9/20/21,ul5-1,2021-09-20_ul5-1,5,ul,ewa,1,1,20,5,1,1,0.454,81.18,34.1,0.621,0.053,11.71,0,126.4,13.4,9.4,0
38,9/20/21,ul5-2,2021-09-20_ul5-2,5,ul,ewa,2,2,20,5,1,1,0.321,56.15,23.58,0.657,0.123,5.353,0.001,76.3,16.6,4.6,0
