"","Date","rlc_end_time","Specimen.ID","deltaNPQ","Species","Treatment","Temp...C.","RLC.Time","RLC.Day","Run","pmax","rETRmax","rETRmaxYpoint1","NPQmax","alpha.1","alpha.2","alpha.3","alpha.4","ek.1","ek.2","ek.3","ek.4"
"1",2023-03-09,"7:53:54","hm01",0.383,"hm",1,24,"7:49:52",1,1,110.17,126.28,126.28,"0.463",0.558,0.017,32.932,0,197.5,15.3,12.9,0
"2",2023-03-09,"7:58:49","hm02",0.989,"hm",1,24,"7:54:46",1,1,55.91,83.64,83.64,"1.091",0.929,0.08,11.628,0,60.1,8.2,7.3,0
"3",2023-03-09,"8:04:06","hm09",0.803,"hm",1,24,"8:00:03",1,1,43.44,46.74,46.74,"0.851",1.042,0.08,13.03,0,41.7,4.4,9.6,0
"4",2023-03-09,"8:08:30","hm10",0.916,"hm",1,24,"8:04:28",1,1,46.48,50.84,45.98,"0.882",1.168,0.183,6.393,0.001,39.8,8.3,4.8,0
"5",2023-03-09,"8:12:57","hm17",0.965,"hm",1,27,"8:08:55",1,1,49.05,53.58,53.58,"1.112",0.966,0.042,22.884,0,50.8,3.3,15.5,0
"6",2023-03-09,"8:17:28","hm18",0.955,"hm",1,27,"8:13:26",1,1,36.27,49.2,41.89,"1.137",1.893,0.613,3.09,0.021,19.2,6.6,2.9,0
"7",2023-03-09,"8:22:08","hm25",0.615,"hm",1,27,"8:18:05",1,1,58.74,75.44,71.4,"0.705",0.71,0.05,14.191,0,82.7,10.6,7.8,0
"8",2023-03-09,"8:27:40","hm26",0.316,"hm",1,27,"8:23:38",1,1,52.88,61.5,53.76,"0.47",0.596,0.031,19.523,0,88.8,8.5,10.4,0
"9",2023-03-09,"8:32:52","hm33",0.798,"hm",1,30,"8:28:50",1,1,54.05,55.86,55.86,"1.019",0.767,0.023,33.308,0,70.4,3.6,19.6,0
"10",2023-03-09,"8:41:13","hm34",0.649,"hm",1,30,"8:37:11",1,1,48.52,60,50.82,"0.784",0.792,0.043,18.232,0,61.2,5.4,11.4,0
"11",2023-03-09,"8:48:12","hm41",0.459,"hm",1,30,"8:44:10",1,1,80.78,100.04,100.04,"0.634",0.541,0.031,17.313,0,149.3,19.8,7.5,0
"12",2023-03-09,"8:52:36","hm42",0.791,"hm",1,30,"8:48:33",1,1,57.16,66.42,60.9,"0.823",0.836,0.025,33.807,0,68.4,3.4,20.2,0
"13",2023-03-09,"8:58:00","hm03",0.733,"hm",2,24,"8:53:57",1,1,43.69,54.94,50.82,"0.979",0.798,0.054,14.9,0,54.7,5.6,9.8,0
"14",2023-03-09,"9:04:55","hm04",0.664,"hm",2,24,"9:00:53",1,1,66.71,75.44,66.36,"0.804",0.718,0.012,59.884,0,92.9,3,31.5,0
"15",2023-03-09,"9:10:13","hm05",0.899,"hm",3,24,"9:06:11",1,1,60.89,82,60.99,"0.933",0.879,0.04,22.218,0,69.3,5.3,13.2,0
"16",2023-03-09,"9:14:49","hm06",0.838,"hm",3,24,"9:10:46",1,1,39.02,45.92,41.23,"0.837",1.446,0.202,7.164,0,27,4.4,6.1,0
"17",2023-03-09,"9:20:06","hm07",0.846,"hm",4,24,"9:16:04",1,1,43.41,51.66,43.89,"0.866",1.11,0.056,19.81,0,39.1,2.6,14.9,0
"18",2023-03-09,"9:24:43","hm08",1.108,"hm",4,24,"9:20:41",1,1,52.45,63.14,55.02,"1.041",1.246,0.084,14.918,0,42.1,3.9,10.9,0
"19",2023-03-09,"9:29:26","hm11",0.932,"hm",2,24,"9:25:23",1,1,41.71,54.12,47.88,"1.049",1.31,0.146,8.954,0,31.8,4.4,7.3,0
"20",2023-03-09,"9:34:46","hm12",1.036,"hm",2,24,"9:30:43",1,1,66.68,72.16,62.7,"1.028",0.94,0.052,18.242,0,70.9,6.6,10.7,0
"21",2023-03-09,"9:39:19","hm13",0.469,"hm",3,24,"9:35:17",1,1,48.13,58.22,48.74,"0.365",1.082,0.119,9.091,0,44.5,6.8,6.5,0
"22",2023-03-09,"9:43:35","hm14",0.496,"hm",3,24,"9:39:33",1,1,39.04,50.84,42.46,"0.482",0.95,0.112,8.503,0,41.1,6.5,6.3,0
"23",2023-03-09,"9:48:09","hm15",0.634,"hm",4,24,"9:44:07",1,1,37.59,53.3,49.56,"0.797",1.205,0.258,4.673,0.003,31.2,8.2,3.8,0
"24",2023-03-09,"9:52:59","hm16",0.591,"hm",4,24,"9:48:57",1,1,87.25,109.06,109.06,"0.602",0.72,0.028,25.426,0,121.2,10.1,12,0
"25",2023-03-09,"9:57:33","hm19",1.137,"hm",2,27,"9:53:31",1,1,51.41,69.7,54.72,"1.167",1.174,0.078,15.04,0,43.8,4,10.8,0
"26",2023-03-09,"9:59:50","hm20",1.152,"hm",2,27,"9:58:49",1,1,52.01,52.63,52.63,"1.137",1.278,0.079,16.09,0,40.7,3.4,11.9,0
"27",2023-03-09,"10:07:35","hm21",0.769,"hm",3,27,"10:03:33",1,1,48.18,63.96,52.08,"0.814",1.053,0.058,18.265,0,45.7,3.5,12.9,0
"28",2023-03-09,"10:12:57","hm22",1.003,"hm",3,27,"10:08:55",1,1,42.01,46.74,43.32,"0.971",1.551,0.222,7.001,0,27.1,4.5,6,0
"29",2023-03-09,"10:17:43","hm23",0.984,"hm",4,27,"10:13:40",1,1,36.44,37.53,37.53,"0.944",6.156,1816.657,0.003,0.997,5.9,1747.3,0,1
"30",2023-03-09,"10:22:40","hm24",0.414,"hm",4,27,"10:18:38",1,1,32.43,50.02,35.53,"0.604",1.023,0.183,5.588,0.001,31.7,7,4.5,0
"31",2023-03-09,"10:27:50","hm27",1.142,"hm",2,27,"10:23:48",1,1,48.32,49.21,49.21,"1.067",1.322,0.132,10.047,0,36.6,4.7,7.8,0
"32",2023-03-09,"10:33:10","hm28",1.145,"hm",2,27,"10:29:08",1,1,57.09,54.91,54.91,"1.129",1.198,0.119,10.079,0,47.7,6.8,7,0
"33",2023-03-09,"10:38:12","hm29",0.924,"hm",3,27,"10:34:10",1,1,59.82,60.23,60.23,"0.909",0.945,0.088,10.766,0,63.3,9.5,6.6,0
