Date,Time,ID,F,F0,Fm,Fm',Epar,Y(II),ETR,Fv/Fm,NPQ,deltaNPQ,rETR,Temp
4/21/22,8:08:29,Hm1-1,84,84,192,192,0,0.563,0,0.563,-,0,0,20
4/21/22,8:08:59,Hm1-1,91,84,192,195,66,0.533,14.8,0.563,-0.015,0,35.18,20
4/21/22,8:09:29,Hm1-1,89,84,192,177,90,0.497,18.8,0.563,0.085,0,44.73,20
4/21/22,8:09:59,Hm1-1,86,84,192,146,125,0.411,21.6,0.563,0.315,0,51.38,20
4/21/22,8:10:30,Hm1-1,89,84,192,124,190,0.282,22.5,0.563,0.548,0,53.58,20
4/21/22,8:11:00,Hm1-1,89,84,192,111,285,0.198,23.7,0.563,0.73,0,56.43,20
4/21/22,8:11:30,Hm1-1,90,84,192,104,420,0.135,23.8,0.563,0.846,0,56.7,20
4/21/22,8:12:01,Hm1-1,93,84,192,100,625,0.07,18.4,0.563,0.92,0,43.75,20
4/21/22,8:12:31,Hm1-1,95,84,192,103,820,0.078,26.9,0.563,0.864,0,63.96,20
4/21/22,8:12:54,Hm1-2,93,93,271,271,0,0.657,0,0.657,-,0,0,20
4/21/22,8:13:24,Hm1-2,104,93,271,256,66,0.594,16.5,0.657,0.059,0,39.2,20
4/21/22,8:13:54,Hm1-2,89,93,271,184,90,0.516,19.5,0.657,0.473,0,46.44,20
4/21/22,8:14:25,Hm1-2,89,93,271,152,125,0.414,21.7,0.657,0.783,0,51.75,20
4/21/22,8:14:55,Hm1-2,92,93,271,135,190,0.319,25.5,0.657,1.007,0,60.61,20
4/21/22,8:15:25,Hm1-2,89,93,271,117,285,0.239,28.6,0.657,1.316,0,68.11,20
4/21/22,8:15:55,Hm1-2,88,93,271,105,420,0.162,28.6,0.657,1.581,0,68.04,20
4/21/22,8:16:26,Hm1-2,89,93,271,101,625,0.119,31.2,0.657,1.683,0,74.38,20
4/21/22,8:16:56,Hm1-2,93,93,271,101,820,0.079,27.2,0.657,1.683,0,64.78,20
4/21/22,8:17:56,Hm1-3,56,56,168,168,0,0.667,0,0.667,-,0,0,20
4/21/22,8:18:26,Hm1-3,63,56,168,158,66,0.601,16.7,0.667,0.063,0,39.67,20
4/21/22,8:18:57,Hm1-3,66,56,168,154,90,0.571,21.6,0.667,0.091,0,51.39,20
4/21/22,8:19:27,Hm1-3,65,56,168,120,125,0.458,24,0.667,0.4,0,57.25,20
4/21/22,8:19:57,Hm1-3,66,56,168,104,190,0.365,29.1,0.667,0.615,0,69.35,20
4/21/22,8:20:28,Hm1-3,66,56,168,90,285,0.267,32,0.667,0.867,0,76.09,20
4/21/22,8:20:58,Hm1-3,68,56,168,84,420,0.19,33.5,0.667,1,0,79.8,20
4/21/22,8:21:28,Hm1-3,72,56,168,80,625,0.1,26.3,0.667,1.1,0,62.5,20
4/21/22,8:21:58,Hm1-3,71,56,168,81,820,0.123,42.4,0.667,1.074,0,100.86,20
4/21/22,8:22:26,Hm1-4,87,87,232,232,0,0.625,0,0.625,-,0,0,20
4/21/22,8:22:57,Hm1-4,101,87,232,211,66,0.521,14.4,0.625,0.1,0,34.39,20
4/21/22,8:23:27,Hm1-4,98,87,232,187,90,0.476,18,0.625,0.241,0,42.84,20
4/21/22,8:23:57,Hm1-4,100,87,232,172,125,0.419,22,0.625,0.349,0,52.38,20
4/21/22,8:24:28,Hm1-4,99,87,232,147,190,0.327,26.1,0.625,0.578,0,62.13,20
4/21/22,8:24:58,Hm1-4,104,87,232,135,285,0.23,27.5,0.625,0.719,0,65.55,20
4/21/22,8:25:28,Hm1-4,107,87,232,125,420,0.144,25.4,0.625,0.856,0,60.48,20
4/21/22,8:25:58,Hm1-4,110,87,232,120,625,0.083,21.8,0.625,0.933,0,51.88,20
4/21/22,8:26:29,Hm1-4,111,87,232,120,820,0.075,25.8,0.625,0.933,0,61.5,20
4/21/22,8:27:04,HUl1-1,84,84,209,209,0,0.598,0,0.598,-,0,0,20
4/21/22,8:27:34,HUl1-1,93,84,209,182,66,0.489,13.6,0.598,0.148,0,32.27,20
4/21/22,8:28:05,HUl1-1,92,84,209,170,90,0.459,17.4,0.598,0.229,0,41.31,20
4/21/22,8:28:35,HUl1-1,94,84,209,149,125,0.369,19.4,0.598,0.403,0,46.12,20
4/21/22,8:29:05,HUl1-1,94,84,209,132,190,0.288,23,0.598,0.583,0,54.72,20
4/21/22,8:29:36,HUl1-1,95,84,209,121,285,0.215,25.7,0.598,0.727,0,61.27,20
4/21/22,8:30:06,HUl1-1,99,84,209,116,420,0.147,25.9,0.598,0.802,0,61.74,20
4/21/22,8:30:36,HUl1-1,102,84,209,112,625,0.089,23.4,0.598,0.866,0,55.62,20
4/21/22,8:31:06,HUl1-1,103,84,209,113,820,0.088,30.3,0.598,0.85,0,72.16,20
4/21/22,8:31:39,HUl1-2,70,70,244,244,0,0.713,0,0.713,-,0,0,20
4/21/22,8:32:09,HUl1-2,95,70,244,186,66,0.489,13.6,0.713,0.312,0,32.27,20
4/21/22,8:32:39,HUl1-2,96,70,244,172,90,0.442,16.7,0.713,0.419,0,39.78,20
4/21/22,8:33:10,HUl1-2,97,70,244,152,125,0.362,19,0.713,0.605,0,45.25,20
4/21/22,8:33:40,HUl1-2,100,70,244,136,190,0.265,21.1,0.713,0.794,0,50.35,20
4/21/22,8:34:10,HUl1-2,104,70,244,126,285,0.175,20.9,0.713,0.937,0,49.88,20
4/21/22,8:34:41,HUl1-2,107,70,244,122,420,0.123,21.7,0.713,1,0,51.66,20
4/21/22,8:35:11,HUl1-2,110,70,244,120,625,0.083,21.8,0.713,1.033,0,51.88,20
4/21/22,8:35:41,HUl1-2,112,70,244,120,820,0.067,23.1,0.713,1.033,0,54.94,20
4/21/22,8:36:03,HUl1-3,80,80,248,248,0,0.677,0,0.677,-,0,0,20
4/21/22,8:36:33,HUl1-3,88,80,248,181,66,0.514,14.2,0.677,0.37,0,33.92,20
4/21/22,8:37:04,HUl1-3,91,80,248,169,90,0.462,17.5,0.677,0.467,0,41.58,20
4/21/22,8:37:34,HUl1-3,92,80,248,161,125,0.429,22.5,0.677,0.54,0,53.62,20
4/21/22,8:38:04,HUl1-3,97,80,248,143,190,0.322,25.7,0.677,0.734,0,61.18,20
4/21/22,8:38:35,HUl1-3,99,80,248,131,285,0.244,29.2,0.677,0.893,0,69.54,20
4/21/22,8:39:05,HUl1-3,102,80,248,123,420,0.171,30.2,0.677,1.016,0,71.82,20
4/21/22,8:39:35,HUl1-3,106,80,248,120,625,0.117,30.7,0.677,1.067,0,73.12,20
4/21/22,8:40:05,HUl1-3,109,80,248,120,820,0.092,31.7,0.677,1.067,0,75.44,20
4/21/22,8:40:56,HUl1-4,96,96,266,266,0,0.639,0,0.639,-,0,0,20
4/21/22,8:41:26,HUl1-4,104,96,266,187,66,0.444,12.3,0.639,0.422,0,29.3,20
4/21/22,8:41:57,HUl1-4,102,96,266,179,90,0.43,16.3,0.639,0.486,0,38.7,20
4/21/22,8:42:27,HUl1-4,105,96,266,156,125,0.327,17.2,0.639,0.705,0,40.88,20
4/21/22,8:42:57,HUl1-4,108,96,266,139,190,0.223,17.8,0.639,0.914,0,42.37,20
4/21/22,8:43:28,HUl1-4,111,96,266,131,285,0.153,18.3,0.639,1.031,0,43.6,20
4/21/22,8:43:58,HUl1-4,114,96,266,128,420,0.109,19.2,0.639,1.078,0,45.78,20
4/21/22,8:44:28,HUl1-4,118,96,266,125,625,0.056,14.7,0.639,1.128,0,35,20
4/21/22,8:44:58,HUl1-4,120,96,266,127,820,0.055,18.9,0.639,1.094,0,45.1,20
4/21/22,8:45:45,Hm2-1,89,89,284,284,0,0.687,0,0.687,-,0,0,20
4/21/22,8:46:16,Hm2-1,106,89,284,181,66,0.414,11.5,0.687,0.569,0,27.32,20
4/21/22,8:46:46,Hm2-1,102,89,284,172,90,0.407,15.4,0.687,0.651,0,36.63,20
4/21/22,8:47:16,Hm2-1,104,89,284,165,125,0.37,19.4,0.687,0.721,0,46.25,20
4/21/22,8:47:47,Hm2-1,108,89,284,154,190,0.299,23.9,0.687,0.844,0,56.81,20
4/21/22,8:48:17,Hm2-1,113,89,284,144,285,0.215,25.7,0.687,0.972,0,61.27,20
4/21/22,8:48:47,Hm2-1,116,89,284,136,420,0.147,25.9,0.687,1.088,0,61.74,20
4/21/22,8:49:18,Hm2-1,119,89,284,131,625,0.092,24.2,0.687,1.168,0,57.5,20
4/21/22,8:49:48,Hm2-1,119,89,284,132,820,0.098,33.8,0.687,1.152,0,80.36,20
4/21/22,8:50:34,Hm2-2,88,88,205,205,0,0.571,0,0.571,-,0,0,20
4/21/22,8:51:04,Hm2-2,92,88,205,149,66,0.383,10.6,0.571,0.376,0,25.28,20
4/21/22,8:51:35,Hm2-2,92,88,205,140,90,0.343,13,0.571,0.464,0,30.87,20
4/21/22,8:52:05,Hm2-2,92,88,205,125,125,0.264,13.9,0.571,0.64,0,33,20
4/21/22,8:52:35,Hm2-2,93,88,205,118,190,0.212,16.9,0.571,0.737,0,40.28,20
4/21/22,8:53:05,Hm2-2,95,88,205,113,285,0.159,19,0.571,0.814,0,45.31,20
4/21/22,8:53:36,Hm2-2,98,88,205,110,420,0.109,19.2,0.571,0.864,0,45.78,20
4/21/22,8:54:06,Hm2-2,102,88,205,109,625,0.064,16.8,0.571,0.881,0,40,20
4/21/22,8:54:36,Hm2-2,103,88,205,111,820,0.072,24.8,0.571,0.847,0,59.04,20
4/21/22,8:55:24,Hm2-3,70,70,188,188,0,0.628,0,0.628,-,0,0,20
4/21/22,8:55:54,Hm2-3,81,70,188,136,66,0.404,11.2,0.628,0.382,0,26.66,20
4/21/22,8:56:24,Hm2-3,80,70,188,126,90,0.365,13.8,0.628,0.492,0,32.85,20
4/21/22,8:56:55,Hm2-3,80,70,188,118,125,0.322,16.9,0.628,0.593,0,40.25,20
4/21/22,8:57:25,Hm2-3,85,70,188,109,190,0.22,17.6,0.628,0.725,0,41.8,20
4/21/22,8:57:55,Hm2-3,87,70,188,104,285,0.163,19.5,0.628,0.808,0,46.45,20
4/21/22,8:58:25,Hm2-3,89,70,188,102,420,0.127,22.4,0.628,0.843,0,53.34,20
4/21/22,8:58:56,Hm2-3,93,70,188,100,625,0.07,18.4,0.628,0.88,0,43.75,20
4/21/22,8:59:26,Hm2-3,94,70,188,102,820,0.078,26.9,0.628,0.843,0,63.96,20
4/21/22,9:00:01,Hm2-4,94,94,241,241,0,0.61,0,0.61,-,0,0,20
4/21/22,9:00:32,Hm2-4,101,94,241,187,66,0.46,12.8,0.61,0.289,0,30.36,20
4/21/22,9:01:02,Hm2-4,101,94,241,166,90,0.392,14.8,0.61,0.452,0,35.28,20
4/21/22,9:01:32,Hm2-4,105,94,241,147,125,0.286,15,0.61,0.639,0,35.75,20
4/21/22,9:02:03,Hm2-4,106,94,241,132,190,0.197,15.7,0.61,0.826,0,37.43,20
4/21/22,9:02:33,Hm2-4,110,94,241,125,285,0.12,14.4,0.61,0.928,0,34.2,20
4/21/22,9:03:03,Hm2-4,113,94,241,122,420,0.074,13.1,0.61,0.975,0,31.08,20
